,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
78,2017 Volkswagen Polo COMFORTLINE 1.2L PETROL MANUAL,"623,599",Non-Accidental,"38,489 km",MANUAL,Valid upto Aug 2022Comp,2nd Owner,Petrol,KA-04-M-x-xxxx,December 2017,"38,489km (25 Nov 2021)"
79,2019 Maruti Vitara Brezza VDI MANUAL,"918,199",Non-Accidental,"13,455 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,KA-04-M-x-xxxx,November 2019,"13,455km (20 Dec 2021)"
80,2020 Maruti Swift ZXI MANUAL,"743,999",Non-Accidental,"27,722 km",MANUAL,Valid upto Aug 2023Third_party,1st Owner,Petrol,KA-03-N-x-xxxx,August 2020,"27,722km (13 Dec 2021)"
81,2016 Hyundai Grand i10 SPORTS 1.2 VTVT MANUAL,"501,199",Non-Accidental,"13,645 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-03-M-x-xxxx,December 2016,"13,645km (06 Oct 2021)"
82,2018 Tata Tiago XZ 1.2 REVOTRON MANUAL,"582,899",Non-Accidental,"6,413 km",MANUAL,Valid upto Aug 2022Zero_Dep,1st Owner,Petrol,KA-51-M-x-xxxx,July 2018,"6,413km (15 Dec 2021)"
83,2018 Maruti Celerio VXI (O) AMT AUTOMATIC,"569,799",Non-Accidental,"8,204 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-04-M-x-xxxx,March 2018,"8,204km (26 Nov 2021)"
84,2016 Hyundai Elite i20 ASTA 1.2 (O) MANUAL,"609,199",Non-Accidental,"34,107 km",MANUAL,Valid upto Jan 20233rd Party,3rd Owner,Petrol,KA-16-N-x-xxxx,April 2016,"34,107km (20 Dec 2021)"
85,2018 Tata NEXON XM 1.2 MANUAL,"780,799",Non-Accidental,"20,495 km",MANUAL,Valid upto May 2022Comp,1st Owner,Petrol,KA-03-N-x-xxxx,January 2018,"20,495km (11 Jan 2022)"
86,2017 Volkswagen Polo GT TSI 1.2 PETROL AT AUTOMATIC,"809,199",Non-Accidental,"19,213 km",AUTOMATIC,Valid upto Oct 2022Comprehensive,1st Owner,Petrol,KA-03-N-x-xxxx,January 2017,"19,213km (19 Jan 2022)"
87,2016 Hyundai Grand i10 SPORTS 1.2 VTVT MANUAL,"565,199",Non-Accidental,"7,071 km",MANUAL,Valid upto Nov 2022Comp,1st Owner,Petrol,KA-05-M-x-xxxx,November 2016,"7,071km (25 Dec 2021)"
88,2016 Ford New Figo 1.2 TITANIUM MANUAL,"555,299",Non-Accidental,"15,848 km",MANUAL,Valid upto Jun 2022Comp,1st Owner,Petrol,KA-05-M-x-xxxx,June 2016,"15,848km (14 Jan 2022)"
89,2014 Maruti Ertiga ZDI MANUAL,"656,599",Non-Accidental,"136,879 km",MANUAL,Valid upto Sep 2022Comp,1st Owner,Diesel,KA-05-M-x-xxxx,May 2014,"136,879km (10 Nov 2021)"
90,2016 Maruti Baleno ZETA 1.2 K12  MANUAL,"705,699",Non-Accidental,"17,406 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-03-M-x-xxxx,October 2016,"17,406km (06 Jan 2022)"
91,2017 Honda City V MT PETROL MANUAL,"863,299",Non-Accidental,"47,252 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-04-M-x-xxxx,January 2017,"47,252km (30 Dec 2021)"
92,2017 Hyundai Verna 1.6 SX VTVT AT (O) AUTOMATIC,"1,070,399",Non-Accidental,"29,635 km",AUTOMATIC,Valid upto Sep 2022Comp,1st Owner,Petrol,KA-04-M-x-xxxx,August 2017,"29,635km (29 Nov 2021)"
93,2015 Hyundai Elite i20 ASTA 1.2 MANUAL,"610,099",Non-Accidental,"102,624 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-53-M-x-xxxx,January 2015,"102,624km (13 Jan 2022)"
94,2010 Hyundai i20 SPORTZ 1.2 O MANUAL,"352,899",Non-Accidental,"91,131 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-19-M-x-xxxx,November 2010,"91,131km (26 Oct 2021)"
95,2018 Maruti Ciaz 	DELTA 1.5 SHVS VVT AT AUTOMATIC,"979,599",Non-Accidental,"15,032 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-05-M-x-xxxx,July 2018,"15,032km (23 Dec 2021)"
96,2008 Maruti Zen Estilo VXI MANUAL,"266,599",Non-Accidental,"60,927 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-04-M-x-xxxx,February 2008,"60,927km (13 Jan 2022)"
97,2015 Hyundai Elite i20 ASTA 1.2 MANUAL,"685,699",Non-Accidental,"29,979 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-05-M-x-xxxx,January 2015,"29,979km (12 Jan 2022)"
98,2020 Maruti Ciaz 	DELTA 1.5 SHVS VVT MT MANUAL,"930,099",Non-Accidental,"21,249 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-12-M-x-xxxx,February 2020,"21,249km (24 Dec 2021)"
99,2014 Honda City SV MT DIESEL MANUAL,"602,999",Non-Accidental,"86,324 km",MANUAL,Valid upto Apr 2022Comp,1st Owner,Diesel,KA-03-M-x-xxxx,March 2014,"86,324km (08 Nov 2021)"
100,2016 Renault Kwid 1.0 RXT MANUAL,"350,799",Non-Accidental,"43,383 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-02-M-x-xxxx,September 2016,"43,383km (12 Jan 2022)"
101,2018 Toyota YARIS V MT MANUAL,"935,699",Non-Accidental,"16,240 km",MANUAL,Valid upto Apr 2022Comp,1st Owner,Petrol,KA-22-M-x-xxxx,April 2018,"16,240km (28 Oct 2021)"
102,2017 Ford New Figo 1.2 TITANIUM MANUAL,"554,299",Non-Accidental,"16,215 km",MANUAL,Valid upto Jun 2022Comp,1st Owner,Petrol,KA-01-M-x-xxxx,December 2017,"16,215km (18 Nov 2021)"
103,2017 Ford New Figo 1.2 TITANIUM MANUAL,"555,299",Non-Accidental,"32,833 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-01-M-x-xxxx,November 2017,"32,833km (18 Jan 2022)"
104,2017 Ford Figo Aspire 1.2 TITANIUM PETROL MANUAL,"625,099",Non-Accidental,"14,252 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,KA-03-N-x-xxxx,March 2017,"14,252km (13 Jan 2022)"
105,2012 Hyundai Eon ERA PLUS MANUAL,"314,299",Non-Accidental,"88,589 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-01-M-x-xxxx,January 2012,"88,589km (12 Jan 2022)"
106,2019 Honda Amaze 1.2 VXMT I VTEC MANUAL,"844,399",Non-Accidental,"16,418 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-03-N-x-xxxx,July 2019,"16,418km (11 Jan 2022)"
107,2013 Ford Ecosport 1.5TITANIUM TDCI MANUAL,"642,599",Non-Accidental,"78,438 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,KA-03-M-x-xxxx,January 2013,"78,438km (11 Jan 2022)"
108,2017 Maruti IGNIS SIGMA 1.2 K12  MANUAL,"480,299",Non-Accidental,"48,370 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-51-M-x-xxxx,July 2017,"48,370km (09 Dec 2021)"
109,2015 Honda Amaze 1.2 SMT I VTEC MANUAL,"485,499",Non-Accidental,"29,794 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-03-M-x-xxxx,April 2015,"29,794km (13 Jan 2022)"
110,2019 KIA SELTOS GTX+ 1.4 MT  MANUAL,"1,509,399",Non-Accidental,"21,242 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-04-M-x-xxxx,July 2019,"21,242km (03 Nov 2021)"
111,2020 Hyundai VENUE S MT 1.2 KAPPA MANUAL,"895,699",Non-Accidental,"7,415 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-53-M-x-xxxx,November 2020,"7,415km (21 Dec 2021)"
112,2020 Mahindra XUV500 W9 MANUAL,"1,786,499",Non-Accidental,"10,813 km",MANUAL,Valid upto Feb 2023Zero_Dep,1st Owner,Diesel,KA-02-M-x-xxxx,January 2020,"10,813km (11 Jan 2022)"
113,2011 Hyundai i20 ASTA 1.2 MANUAL,"424,599",Non-Accidental,"83,603 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-05-M-x-xxxx,February 2011,"83,603km (11 Jan 2022)"
114,2009 Hyundai i10 SPORTZ 1.2 AT AUTOMATIC,"325,399",Non-Accidental,"34,873 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-03-M-x-xxxx,July 2009,"34,873km (11 Dec 2021)"
