,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
267,2013 Maruti Swift VDI MANUAL,"341,599",Non-Accidental,"114,506 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-9C-A-x-xxxx,January 2013,"114,506km (03 Jan 2022)"
268,2015 Maruti Swift Dzire VDI ABS MANUAL,"453,699",Non-Accidental,"76,778 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-7C-T-x-xxxx,January 2015,"76,778km (20 Dec 2021)"
269,2015 Maruti Swift Dzire VXI 1.2 BS IV MANUAL,"454,599",Non-Accidental,"53,442 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,DL-8C-A-x-xxxx,July 2015,"53,442km (10 Jan 2022)"
270,2013 Toyota Etios Liva GD exclusive MANUAL,"357,899",Non-Accidental,"97,829 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-3C-B-x-xxxx,October 2013,"97,829km (18 Jan 2022)"
271,2012 Maruti Swift Dzire VDI BS IV MANUAL,"342,299",Non-Accidental,"110,592 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,DL-8C-U-x-xxxx,October 2012,"110,592km (11 Nov 2021)"
272,2013 Maruti Swift VDI MANUAL,"351,899",Non-Accidental,"45,417 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-3C-C-x-xxxx,October 2013,"45,417km (10 Nov 2021)"
273,2016 Maruti Swift VDI ABS MANUAL,"470,599",Non-Accidental,"106,080 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-6C-P-x-xxxx,May 2016,"106,080km (29 Sep 2021)"
274,2015 Maruti Swift VDI ABS MANUAL,"404,599",Non-Accidental,"76,264 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-12-C-x-xxxx,March 2015,"76,264km (22 Nov 2021)"
275,2012 Maruti Swift VDI MANUAL,"360,099",Non-Accidental,"38,061 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-2C-A-x-xxxx,November 2012,"38,061km (13 Dec 2021)"
276,2016 Maruti Wagon R 1.0 VXI AMT AUTOMATIC,"409,599",Non-Accidental,"41,586 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,UP-14-C-x-xxxx,January 2016,"41,586km (17 Dec 2021)"
277,2015 Maruti Wagon R 1.0 VXI MANUAL,"365,499",Non-Accidental,"23,699 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,DL-6C-P-x-xxxx,January 2015,"23,699km (04 Jan 2022)"
