,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
320,2019 Hyundai GRAND I10 NIOS Asta Petrol ,"669,499",Non-Accidental,"20,134 km",NA,Valid upto Sep 2022Third_party,2nd Owner,Petrol,MH-14-H-x-xxxx,July 2019,"20,134km (12 Jan 2022)"
321,2019 Maruti New  Wagon-R VXI 1.0  ,"556,999",Non-Accidental,"3,555 km",NA,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-03-D-x-xxxx,September 2019,"3,555km (18 Jan 2022)"
322,2019 Hyundai Verna 1.6 SX VTVT MANUAL,"958,599",Non-Accidental,"11,728 km",MANUAL,Valid upto Jun 2022Third_party,1st Owner,Petrol,MH-12-R-x-xxxx,April 2019,"11,728km (11 Jan 2022)"
323,2015 Hyundai Elite i20 ASTA 1.2 MANUAL,"541,199",Non-Accidental,"48,704 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-02-D-x-xxxx,September 2015,"48,704km (29 Oct 2021)"
324,2018 Maruti Ertiga VDI SHVS LIMITED EDITION MANUAL,"844,499",Non-Accidental,"54,697 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-47-A-x-xxxx,March 2018,"54,697km (13 Jan 2022)"
325,2016 Maruti Baleno 	DELTA 1.2 K12 AT AUTOMATIC,"640,099",Non-Accidental,"26,581 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-12-M-x-xxxx,February 2016,"26,581km (11 Jan 2022)"
326,2014 Honda City S MT PETROL MANUAL,"490,999",Non-Accidental,"146,906 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-05-C-x-xxxx,June 2014,"146,906km (17 Jan 2022)"
327,2018 Honda WR-V 1.5 i-DTEC VX MT MANUAL,"847,799",Non-Accidental,"41,342 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-05-D-x-xxxx,May 2018,"41,342km (25 Dec 2021)"
328,2016 Maruti Ciaz ZDI SHVS HYBIRD MANUAL,"628,099",Non-Accidental,"143,867 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,MH-14-F-x-xxxx,February 2016,"143,867km (29 Dec 2021)"
329,2017 Jeep Compass LIMITED 1.4 AT AUTOMATIC,"1,408,299",Non-Accidental,"73,849 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-14-G-x-xxxx,December 2017,"73,849km (29 Dec 2021)"
330,2017 Maruti Dzire ZDI MANUAL,"761,599",Non-Accidental,"40,204 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-46-B-x-xxxx,October 2017,"40,204km (02 Jan 2022)"
331,2015 Maruti Baleno ALPHA 1.2 K12  MANUAL,"588,999",Non-Accidental,"22,851 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-01-C-x-xxxx,December 2015,"22,851km (11 Dec 2021)"
332,2017 Toyota Camry HYBRID MANUAL,"1,912,099",Non-Accidental,"69,593 km",MANUAL,Valid upto May 2022Comp,1st Owner,Petrol,MH-04-H-x-xxxx,April 2017,"69,593km (01 Dec 2021)"
333,2017 Hyundai Creta 1.6 CRDI SX PLUS AUTO AUTOMATIC,"1,188,899",Non-Accidental,"72,717 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-14-G-x-xxxx,November 2017,"72,717km (29 Dec 2021)"
334,2017 Maruti Ciaz ALPHA 1.3 DDIS SHVS  MANUAL,"753,799",Non-Accidental,"74,981 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-46-B-x-xxxx,April 2017,"74,981km (23 Oct 2021)"
335,2017 Jeep Compass 2.0 LIMITED MANUAL,"1,476,599",Non-Accidental,"25,491 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,MH-02-E-x-xxxx,November 2017,"25,491km (30 Dec 2021)"
336,2017 Maruti IGNIS DELTA 1.2 K12 AMT AUTOMATIC,"555,899",Non-Accidental,"4,550 km",AUTOMATIC,Valid upto Jul 2022Comp,1st Owner,Petrol,MH-47-W-x-xxxx,June 2017,"4,550km (24 Dec 2021)"
337,2015 Maruti Swift VXI MANUAL,"435,599",Non-Accidental,"24,966 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-12-M-x-xxxx,July 2015,"24,966km (28 Oct 2021)"
338,2017 Hyundai Creta 1.6 CRDI SX PLUS AUTO AUTOMATIC,"1,075,099",Non-Accidental,"79,362 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-43-B-x-xxxx,February 2017,"79,362km (28 Dec 2021)"
339,2015 Maruti Celerio VXI  MANUAL,"400,199",Non-Accidental,"34,813 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-48-A-x-xxxx,July 2015,"34,813km (09 Dec 2021)"
340,2017 Maruti IGNIS DELTA 1.2 K12  MANUAL,"521,699",Non-Accidental,"24,753 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-14-G-x-xxxx,March 2017,"24,753km (19 Oct 2021)"
