,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
200,2017 Maruti Wagon R 1.0 VXI PLUS MANUAL,"377,399",Non-Accidental,"46,478 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-24-A-x-xxxx,November 2017,"46,478km (27 Dec 2021)"
201,2019 Hyundai NEW SANTRO 1.1 MAGNA MT MANUAL,"425,399",Non-Accidental,"10,204 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,October 2019,"10,204km (24 Dec 2021)"
202,2018 Maruti Alto 800 LXI MANUAL,"310,199",Non-Accidental,"11,462 km",MANUAL,Valid upto Jun 2022Third_party,1st Owner,Petrol,WB-02-A-x-xxxx,April 2018,"11,462km (17 Jan 2022)"
203,2019 Maruti Alto LXI MANUAL,"331,299",Non-Accidental,"10,266 km",MANUAL,Valid upto Sep 2022Comp,1st Owner,Petrol,WB-02-A-x-xxxx,June 2019,"10,266km (25 Dec 2021)"
204,2018 Maruti Alto K10 VXI (O) AMT MANUAL,"375,899",Non-Accidental,"11,081 km",MANUAL,Valid upto Aug 2022Third_party,1st Owner,Petrol,WB-24-A-x-xxxx,August 2018,"11,081km (11 Nov 2021)"
205,2014 Maruti Alto 800 VXI MANUAL,"250,699",Non-Accidental,"20,801 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-08-9-x-xxxx,January 2014,"20,801km (03 Jan 2022)"
206,2020 Maruti Alto VXI MANUAL,"400,399",Non-Accidental,"3,266 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-06-T-x-xxxx,August 2020,"3,266km (28 Dec 2021)"
207,2014 Maruti Alto 800 LXI MANUAL,"253,999",Non-Accidental,"32,248 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,September 2014,"32,248km (10 Nov 2021)"
208,2020 Maruti Alto VXI MANUAL,"395,999",Non-Accidental,"1,584 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-06-T-x-xxxx,September 2020,"1,584km (30 Dec 2021)"
209,2014 Maruti Alto 800 LXI MANUAL,"268,599",Non-Accidental,"3,733 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-26-T-x-xxxx,January 2014,"3,733km (29 Dec 2021)"
210,2015 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT MANUAL,"431,399",Non-Accidental,"13,432 km",MANUAL,Valid upto Aug 2022Comp,2nd Owner,Petrol,WB-08-A-x-xxxx,April 2015,"13,432km (05 Jan 2022)"
211,2017 Maruti Wagon R 1.0 VXI PLUS MANUAL,"393,099",Non-Accidental,"81,442 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,September 2017,"81,442km (11 Jan 2022)"
212,2020 Maruti Alto VXI MANUAL,"392,399",Non-Accidental,"7,198 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-12-B-x-xxxx,March 2020,"7,198km (27 Dec 2021)"
213,2014 Maruti Alto 800 LXI MANUAL,"276,499",Non-Accidental,"5,387 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-26-T-x-xxxx,February 2014,"5,387km (13 Nov 2021)"
214,2017 Hyundai Grand i10 MAGNA 1.2 VTVT MANUAL,"448,799",Non-Accidental,"24,906 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-24-A-x-xxxx,September 2017,"24,906km (27 Oct 2021)"
215,2017 Hyundai Grand i10 MAGNA 1.2 VTVT MANUAL,"452,999",Non-Accidental,"20,561 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-20-A-x-xxxx,January 2017,"20,561km (28 Dec 2021)"
216,2020 Maruti Alto LXI MANUAL,"330,799",Non-Accidental,"4,113 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,WB-02-A-x-xxxx,January 2020,"4,113km (23 Dec 2021)"
217,2016 Maruti Alto K10 VXI  MANUAL,"293,399",Non-Accidental,"49,194 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,WB-08-B-x-xxxx,June 2016,"49,194km (30 Dec 2021)"
218,2014 Maruti Alto 800 LXI MANUAL,"242,299",Non-Accidental,"14,195 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,WB-24-Y-x-xxxx,January 2014,"14,195km (25 Dec 2021)"
219,2014 Maruti Alto K10 VXI  MANUAL,"260,399",Non-Accidental,"64,569 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-06-L-x-xxxx,December 2014,"64,569km (31 Dec 2021)"
220,2014 Volkswagen Vento COMFORTLINE PETROL MANUAL,"341,499",Non-Accidental,"77,128 km",MANUAL,Valid upto Jun 2022Comp,1st Owner,Petrol,WB-02-A-x-xxxx,January 2014,"77,128km (10 Jan 2022)"
221,2015 Maruti Alto K10 VXI  MANUAL,"290,199",Non-Accidental,"13,334 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-06-L-x-xxxx,February 2015,"13,334km (19 Nov 2021)"
222,2019 Maruti Eeco 5 STR WITH AC PLUSHTR MANUAL,"415,999",Non-Accidental,"11,410 km",MANUAL,Valid upto Jun 2022Third_party,1st Owner,Petrol,WB-12-A-x-xxxx,April 2019,"11,410km (29 Oct 2021)"
223,2019 Maruti Eeco 5 STR WITH AC PLUSHTR MANUAL,"418,399",Non-Accidental,"23,545 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-06-S-x-xxxx,August 2019,"23,545km (31 Dec 2021)"
224,2019 Maruti Eeco 5 STR WITH AC PLUSHTR MANUAL,"412,899",Non-Accidental,"45,918 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,September 2019,"45,918km (01 Nov 2021)"
225,2017 Hyundai Grand i10 Sportz(O) 1.2 MT MANUAL,"431,799",Non-Accidental,"41,182 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,WB-08-D-x-xxxx,April 2017,"41,182km (24 Dec 2021)"
226,2014 Maruti Alto 800 LXI MANUAL,"266,499",Non-Accidental,"22,020 km",MANUAL,Valid upto Jan 20233rd Party,3rd Owner,Petrol,WB-02-A-x-xxxx,August 2014,"22,020km (15 Jan 2022)"
227,2014 Maruti Alto 800 LXI MANUAL,"255,299",Non-Accidental,"27,011 km",MANUAL,Valid upto Sep 2022Comp,2nd Owner,Petrol,WB-02-A-x-xxxx,July 2014,"27,011km (16 Nov 2021)"
228,2015 Maruti Alto K10 VXI  MANUAL,"304,599",Non-Accidental,"28,718 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-06-M-x-xxxx,December 2015,"28,718km (12 Jan 2022)"
229,2017 Maruti Wagon R 1.0 VXI MANUAL,"454,899",Non-Accidental,"27,238 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-20-A-x-xxxx,December 2017,"27,238km (12 Jan 2022)"
230,2017 Maruti Alto K10 VXI  MANUAL,"322,799",Non-Accidental,"18,142 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-10-0-x-xxxx,October 2017,"18,142km (07 Jan 2022)"
231,2019 Maruti Eeco 5 STR WITH AC PLUSHTR MANUAL,"447,099",Non-Accidental,"3,700 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-20-B-x-xxxx,August 2019,"3,700km (12 Jan 2022)"
232,2016 Maruti Alto 800 LXI MANUAL,"274,899",Non-Accidental,"16,768 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-08-B-x-xxxx,February 2016,"16,768km (21 Oct 2021)"
233,2016 Maruti Alto 800 LXI MANUAL,"279,399",Non-Accidental,"15,753 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-08-B-x-xxxx,February 2016,"15,753km (10 Jan 2022)"
234,2017 Maruti Wagon R 1.0 VXI MANUAL,"431,899",Non-Accidental,"35,589 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,WB-02-A-x-xxxx,July 2017,"35,589km (27 Dec 2021)"
235,2015 Maruti Alto 800 LXI MANUAL,"268,499",Non-Accidental,"4,341 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,WB-06-M-x-xxxx,June 2015,"4,341km (29 Dec 2021)"
236,2019 Maruti Alto 800 LXI MANUAL,"322,399",Non-Accidental,"7,646 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,February 2019,"7,646km (27 Dec 2021)"
