,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
115,2019 Hyundai Creta  1.6 CRDI sx(o) executive MANUAL,"1,269,799",Non-Accidental,"52,872 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-01-K-x-xxxx,February 2019,"52,872km (03 Jan 2022)"
116,2018 Maruti Vitara Brezza VDI MANUAL,"775,499",Non-Accidental,"52,519 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-38-B-x-xxxx,September 2018,"52,519km (23 Dec 2021)"
117,2017 Maruti Swift VDI ABS MANUAL,"530,699",Non-Accidental,"77,598 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,GJ-05-R-x-xxxx,June 2017,"77,598km (07 Jan 2022)"
118,2017 Jeep Compass 2.0 LIMITED MANUAL,"1,092,999",Non-Accidental,"99,803 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,GJ-21-C-x-xxxx,October 2017,"99,803km (04 Jan 2022)"
119,2019 Hyundai Creta 1.6 SX CRDI MANUAL,"1,204,099",Non-Accidental,"51,604 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-01-H-x-xxxx,January 2019,"51,604km (01 Jan 2022)"
120,2016 Maruti Baleno ZETA 1.2 K12  MANUAL,"584,099",Non-Accidental,"42,498 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-05-J-x-xxxx,January 2016,"42,498km (23 Dec 2021)"
121,2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE MANUAL,"737,399",Non-Accidental,"111,377 km",MANUAL,Valid upto May 2022Zero_Dep,1st Owner,Diesel,GJ-01-R-x-xxxx,May 2016,"111,377km (04 Jan 2022)"
122,2020 Maruti Dzire VXI MANUAL,"680,999",Non-Accidental,"44,431 km",MANUAL,Valid upto Jul 2022Zero_Dep,1st Owner,Petrol,GJ-01-K-x-xxxx,February 2020,"44,431km (29 Dec 2021)"
123,2019 Hyundai Verna 1.6 CRDI SX MANUAL,"924,699",Non-Accidental,"41,939 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,GJ-09-B-x-xxxx,March 2019,"41,939km (20 Dec 2021)"
124,2018 Maruti Baleno DELTA 1.2 K12  MANUAL,"633,499",Non-Accidental,"16,970 km",MANUAL,Valid upto Aug 2022Zero_Dep,1st Owner,Petrol,GJ-05-R-x-xxxx,July 2018,"16,970km (27 Dec 2021)"
